
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5802959800;0.8327180147;0.6107236526;0.6079625189
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5781319737;50.6534538269;0.7077765239;0.6053010225
TAG_SUB_START-TAG_SUB_END;500;0.5779700279;50.6756477356;0.7010201720;0.6029634774
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5774549842;50.6807785034;0.7000896772;0.6015005112
TAG_MUL_START-TAG_MUL_END;500;0.5736460090;50.6807785034;0.6946231750;0.5966930091
TAG_MUL_U_START-TAG_MUL_U_END;500;0.5735949874;50.6807785034;0.5927799174;0.5961785018
TAG_DIV_START-TAG_DIV_END;500;2.1962440014;52.3251037598;2.3656418967;2.2546449900
TAG_DIV_U_START-TAG_DIV_U_END;500;3.6862030029;53.8841094971;3.9947010074;3.7787215710
TAG_EQ_START-TAG_EQ_END;500;0.5878679752;53.8841094971;0.6092639735;0.6106510162
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5879809856;53.8841094971;0.6067955824;0.6100219786
TAG_NEQ_START-TAG_NEQ_END;500;0.5881050229;53.8841094971;0.6108852582;0.6116460264
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5882329941;53.8841094971;0.6090461043;0.6109465063
TAG_LEQ_START-TAG_LEQ_END;500;0.5880479813;53.8841094971;0.8019799843;0.6108049750
TAG_LEQ_U_START-TAG_LEQ_U_END;500;0.5944420099;53.8841094971;0.6150316329;0.6171955168
TAG_GEQ_START-TAG_GEQ_END;500;0.5908039808;53.8841094971;0.6133288538;0.6147944927
TAG_GEQ_U_START-TAG_GEQ_U_END;500;0.6198109984;53.8841094971;0.6437238637;0.6449710131
TAG_LESS_START-TAG_LESS_END;500;0.5881720185;53.8841094971;0.6084706202;0.6109444797
TAG_LESS_U_START-TAG_LESS_U_END;500;0.6208220124;53.8841094971;0.8443282201;0.6448680162
TAG_GRT_START-TAG_GRT_END;500;0.5920050144;53.8841094971;0.7129829521;0.6149739921
TAG_GRT_U_START-TAG_GRT_U_END;500;0.5916470289;53.8841094971;0.7117808027;0.6149575114
TAG_SHR_U_START-TAG_SHR_U_END;500;4.1159548759;53.8841094971;4.3518799362;4.2353160381
TAG_SHL_START-TAG_SHL_END;500;0.7168290019;53.8841094971;0.7421722987;0.7396529913
TAG_SHL_U_START-TAG_SHL_U_END;500;0.7168400288;53.8841094971;0.8418236809;0.7395830154
TAG_LAND_START-TAG_LAND_END;500;0.5549979806;53.8841094971;0.5790811555;0.5791510046
TAG_LAND_U_START-TAG_LAND_U_END;500;0.6584600210;53.8841094971;0.7811951929;0.6809355021
TAG_LOR_START-TAG_LOR_END;500;0.5041660070;53.8841094971;0.5252360201;0.5261499882
TAG_LOR_U_START-TAG_LOR_U_END;500;0.5875020027;53.8841094971;0.6101619297;0.6125389934
TAG_AND_START-TAG_AND_END;500;0.5465599895;53.8841094971;0.5652397805;0.5689505041
TAG_AND_U_START-TAG_AND_U_END;500;0.6491060257;53.8841094971;0.6702582246;0.6720820069
TAG_OR_START-TAG_OR_END;500;0.5465459824;53.8841094971;0.6651392043;0.5688489974
TAG_OR_U_START-TAG_OR_U_END;500;0.6506249905;53.8841094971;0.6764739041;0.6768389940
TAG_XOR_START-TAG_XOR_END;500;0.5523729920;53.8841094971;0.5718030787;0.5749675035
TAG_XOR_U_START-TAG_XOR_U_END;500;0.5524880290;53.8841094971;0.5714533460;0.5750454962
TAG_NEG_START-TAG_NEG_END;500;0.4344449937;53.8841094971;0.4489314641;0.4369404912
TAG_NEG_U_START-TAG_NEG_U_END;500;0.5750489831;53.8841094971;0.5943535533;0.5968790054
