
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5585839748;0.7466250062;0.5887171392;0.5867550075
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5600969791;0.7466250062;0.5915076828;0.5893809795
TAG_SUB_START-TAG_SUB_END;500;0.5469800234;0.7466250062;0.5705037677;0.5737915039
TAG_SUB_U_START-TAG_SUB_U_END;500;1.7182339430;51.8462791443;2.1804012580;1.7715229988
TAG_MUL_START-TAG_MUL_END;500;3.7051169872;53.9007911682;4.3163757739;3.8029863834
TAG_MUL_U_START-TAG_MUL_U_END;500;1.1344859600;53.9007911682;1.2715818839;1.1648374796
TAG_DIV_START-TAG_DIV_END;500;2.1840069294;53.9007911682;2.4547596483;2.2458499670
TAG_DIV_U_START-TAG_DIV_U_END;500;1.8256319761;53.9007911682;2.1792890360;1.8696655035
TAG_EQ_START-TAG_EQ_END;500;0.5015940070;53.9007911682;0.5215359715;0.5242924988
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5008699894;53.9007911682;0.6180569018;0.5230039954
TAG_NEQ_START-TAG_NEQ_END;500;0.5155010223;53.9007911682;0.6332261485;0.5369834900
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5155339837;53.9007911682;0.5330121003;0.5371305048
TAG_LEQ_START-TAG_LEQ_END;500;1.5597059727;53.9007911682;1.7034706070;1.6057999730
TAG_LEQ_U_START-TAG_LEQ_U_END;500;1.5653020144;53.9007911682;1.7187340066;1.6121005416
TAG_GEQ_START-TAG_GEQ_END;500;1.5820009708;53.9007911682;1.7330311272;1.6279964447
TAG_GEQ_U_START-TAG_GEQ_U_END;500;1.5619690418;53.9007911682;1.6150636294;1.6091710329
TAG_LESS_START-TAG_LESS_END;500;1.5436609983;53.9007911682;1.5953501110;1.5897580385
TAG_LESS_U_START-TAG_LESS_U_END;500;1.5508519411;53.9007911682;1.6069740944;1.6010459661
TAG_GRT_START-TAG_GRT_END;500;1.5492880344;53.9007911682;1.7032011724;1.5962100029
TAG_GRT_U_START-TAG_GRT_U_END;500;1.5535880327;53.9007911682;1.6047918158;1.5999749899
TAG_SHR_U_START-TAG_SHR_U_END;500;2.4720509052;53.9007911682;2.7499045844;2.5403149128
TAG_SHL_START-TAG_SHL_END;500;4.7778267860;54.9577293396;5.0173643951;4.9026525021
TAG_SHL_U_START-TAG_SHL_U_END;500;1.9052749872;54.9577293396;2.0645379295;1.9573854804
TAG_LAND_START-TAG_LAND_END;500;3.9543070793;54.9577293396;4.0721068521;4.0567963123
TAG_LAND_U_START-TAG_LAND_U_END;500;1.4678659439;54.9577293396;1.5149889898;1.5102314949
TAG_LOR_START-TAG_LOR_END;500;2.4384028912;54.9577293396;2.5175988598;2.5066080093
TAG_LOR_U_START-TAG_LOR_U_END;500;0.6209080219;54.9577293396;0.6504345212;0.6500454843
TAG_AND_START-TAG_AND_END;500;1.3263989687;54.9577293396;1.3676534634;1.3608340025
TAG_AND_U_START-TAG_AND_U_END;500;1.1753460169;54.9577293396;1.2120955489;1.2054605484
TAG_OR_START-TAG_OR_END;500;1.3068890572;54.9577293396;1.4486903639;1.3414340019
TAG_OR_U_START-TAG_OR_U_END;500;1.1752589941;54.9577293396;1.3116572926;1.2049825191
TAG_XOR_START-TAG_XOR_END;500;5.6540188789;55.8493537903;6.0096402178;5.7887911797
TAG_XOR_U_START-TAG_XOR_U_END;500;5.3346400261;55.8493537903;5.4785477085;5.4607155323
TAG_NEG_START-TAG_NEG_END;500;0.8573510051;55.8493537903;0.8841270612;0.8792330027
TAG_NEG_U_START-TAG_NEG_U_END;500;0.8139169812;55.8493537903;0.8395637448;0.8357155025
