
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;2.7388260365;52.8768310547;2.9495852370;2.8386179209
TAG_ADD_U_START-TAG_ADD_U_END;500;2.2297561169;52.8768310547;2.4372776451;2.3274359703
TAG_SUB_START-TAG_SUB_END;500;4.3286628723;54.4555206299;4.6718352165;4.4579074383
TAG_SUB_U_START-TAG_SUB_U_END;500;3.6840729713;54.4555206299;4.0343620329;3.8188840151
TAG_MUL_START-TAG_MUL_END;500;5.3527889252;55.7609062195;5.7258599443;5.5023906231
TAG_MUL_U_START-TAG_MUL_U_END;500;2.9175229073;55.7609062195;3.2056344266;2.9936150312
TAG_DIV_START-TAG_DIV_END;500;7.1886749268;57.5342559814;7.9264515944;7.4015815258
TAG_DIV_U_START-TAG_DIV_U_END;500;10.6436004639;61.1067848206;11.5743743248;10.9417281151
TAG_EQ_START-TAG_EQ_END;500;2.4653921127;61.1067848206;2.5487390432;2.5394639969
TAG_EQ_U_START-TAG_EQ_U_END;500;2.1291499138;61.1067848206;2.3042645993;2.1954334974
TAG_NEQ_START-TAG_NEQ_END;500;2.5963630676;61.1067848206;3.0886524243;2.6763454676
TAG_NEQ_U_START-TAG_NEQ_U_END;500;2.3511381149;61.1067848206;2.7340338712;2.4238649607
TAG_LEQ_START-TAG_LEQ_END;500;6.5666160583;61.1067848206;7.0755950441;6.7462630272
TAG_LEQ_U_START-TAG_LEQ_U_END;500;5.6965098381;61.1067848206;6.1685085125;5.8512613773
TAG_GEQ_START-TAG_GEQ_END;500;6.5994248390;61.1067848206;7.2158068790;6.7890095711
TAG_GEQ_U_START-TAG_GEQ_U_END;500;5.6410927773;61.1067848206;6.1320697737;5.8028304577
TAG_LESS_START-TAG_LESS_END;500;7.2675981522;61.1067848206;7.6820652742;7.4552943707
TAG_LESS_U_START-TAG_LESS_U_END;500;5.6613550186;63.1944847107;6.1507004843;5.8129389286
TAG_GRT_START-TAG_GRT_END;500;0.6002500057;63.1944847107;0.6301176002;0.6295114756
TAG_GRT_U_START-TAG_GRT_U_END;500;0.6003800035;63.1944847107;0.6306023141;0.6297250092
TAG_SHR_U_START-TAG_SHR_U_END;500;12.3475027084;63.1944847107;13.4498410931;12.7061614990
TAG_SHL_START-TAG_SHL_END;500;10.9064226151;63.1944847107;12.0217499943;11.1785836220
TAG_SHL_U_START-TAG_SHL_U_END;500;8.9812221527;63.1944847107;9.7925468616;9.2599282265
TAG_LAND_START-TAG_LAND_END;500;7.3609127998;63.1944847107;7.8712983999;7.5397114754
TAG_LAND_U_START-TAG_LAND_U_END;500;4.7074131966;63.1944847107;5.1566926689;4.8357734680
TAG_LOR_START-TAG_LOR_END;500;4.7906060219;63.1944847107;5.2327459841;4.9143323898
TAG_LOR_U_START-TAG_LOR_U_END;500;4.0805158615;63.1944847107;4.4017171078;4.1835985184
TAG_AND_START-TAG_AND_END;500;2.3566079140;63.1944847107;2.5427198653;2.4338899851
TAG_AND_U_START-TAG_AND_U_END;500;2.1100420952;63.1944847107;2.1811379881;2.1701560020
TAG_OR_START-TAG_OR_END;500;2.3737230301;63.1944847107;2.5638537555;2.4545090199
TAG_OR_U_START-TAG_OR_U_END;500;2.1064119339;63.1944847107;2.1732388549;2.1611135006
TAG_XOR_START-TAG_XOR_END;500;10.1458902359;63.1944847107;11.1197919369;10.3870902061
TAG_XOR_U_START-TAG_XOR_U_END;500;9.5127687454;63.1944847107;10.6059756870;9.7742114067
TAG_NEG_START-TAG_NEG_END;500;2.2443730831;63.1944847107;2.3147123170;2.3047419786
TAG_NEG_U_START-TAG_NEG_U_END;500;1.9203699827;63.1944847107;2.0811642711;1.9707050323
