
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5686709881;0.7614380121;0.5871163833;0.5894449949
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5682259798;2.1318140030;0.5915359052;0.5899089873
TAG_SUB_START-TAG_SUB_END;500;0.5596339703;2.1318140030;0.5795622752;0.5810869932
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5593870282;50.6467323303;0.6793708786;0.5804550052
TAG_MUL_START-TAG_MUL_END;500;0.6088860035;50.6467323303;0.6291666695;0.6303524971
TAG_MUL_U_START-TAG_MUL_U_END;500;0.6087250113;50.6989669800;0.7324270252;0.6304950118
TAG_DIV_START-TAG_DIV_END;500;0.8886950016;50.6989669800;0.9425675429;0.9391824901
TAG_DIV_U_START-TAG_DIV_U_END;500;1.8203730583;51.9190101624;2.0873657858;1.8707515001
TAG_EQ_START-TAG_EQ_END;500;0.4983699918;51.9190101624;0.5189827329;0.5216030180
TAG_EQ_U_START-TAG_EQ_U_END;500;0.4973840117;51.9190101624;0.5171481330;0.5161390007
TAG_NEQ_START-TAG_NEQ_END;500;0.5819060206;51.9190101624;0.6009242240;0.6028904915
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5819730163;51.9190101624;0.6048600286;0.6032170057
TAG_LEQ_START-TAG_LEQ_END;500;1.6309180260;51.9190101624;1.7899089203;1.6791719794
TAG_LEQ_U_START-TAG_LEQ_U_END;500;1.7026749849;51.9190101624;1.7999691620;1.7808684707
TAG_GEQ_START-TAG_GEQ_END;500;1.6010379791;51.9190101624;1.7644158642;1.6514285207
TAG_GEQ_U_START-TAG_GEQ_U_END;500;1.7553609610;52.0386047363;1.9198087027;1.8011969924
TAG_LESS_START-TAG_LESS_END;500;1.6141320467;52.0386047363;1.7713501592;1.6635295153
TAG_LESS_U_START-TAG_LESS_U_END;500;1.8093210459;52.0588302612;2.0919667561;1.8635489941
TAG_GRT_START-TAG_GRT_END;500;1.6353540421;52.0588302612;1.7973037193;1.6872439981
TAG_GRT_U_START-TAG_GRT_U_END;500;1.7389370203;52.0588302612;1.9261282625;1.7909219861
TAG_SHR_U_START-TAG_SHR_U_END;500;2.3268320560;52.7578430176;2.6313663788;2.4002079964
TAG_SHL_START-TAG_SHL_END;500;0.7046340108;52.7578430176;0.7279571484;0.7263534963
TAG_SHL_U_START-TAG_SHL_U_END;500;0.7134860158;52.7578430176;0.7500253890;0.7357154787
TAG_LAND_START-TAG_LAND_END;500;0.5553889871;52.7578430176;0.5730992634;0.5759994984
TAG_LAND_U_START-TAG_LAND_U_END;500;0.5580319762;52.7578430176;0.5838303436;0.5800609887
TAG_LOR_START-TAG_LOR_END;500;0.4973419905;52.7578430176;0.5144977230;0.5189154744
TAG_LOR_U_START-TAG_LOR_U_END;500;0.4957470000;52.7578430176;0.6157322744;0.5151144862
TAG_AND_START-TAG_AND_END;500;0.7966970205;52.7578430176;0.9218934646;0.8185150027
TAG_AND_U_START-TAG_AND_U_END;500;0.8104299903;52.7578430176;0.9431036202;0.8322235048
TAG_OR_START-TAG_OR_END;500;0.7966679931;52.7578430176;0.8232688746;0.8185475171
TAG_OR_U_START-TAG_OR_U_END;500;0.8103860021;52.7578430176;0.8386061137;0.8321020007
TAG_XOR_START-TAG_XOR_END;500;1.1724790335;52.7578430176;1.2178384731;1.2017479539
TAG_XOR_U_START-TAG_XOR_U_END;500;1.1954289675;52.7578430176;1.3346965013;1.2247960567
TAG_NEG_START-TAG_NEG_END;500;0.4353609979;52.7578430176;0.4526581097;0.4441635013
TAG_NEG_U_START-TAG_NEG_U_END;500;0.4480409920;52.7578430176;0.4646782777;0.4682434946
