
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5555949807;49.6434097290;0.6911828367;0.5811619759
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5576689839;49.6434097290;0.5979514686;0.5833005011
TAG_SUB_START-TAG_SUB_END;500;0.5492900014;50.6770935059;0.7808898418;0.5738449991
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5493869781;50.6770935059;0.6805958647;0.5726595223
TAG_MUL_START-TAG_MUL_END;500;0.5486739874;50.6770935059;0.6761696014;0.5709260106
TAG_MUL_U_START-TAG_MUL_U_END;500;0.5487899780;50.6770935059;0.5775816418;0.5711289942
TAG_DIV_START-TAG_DIV_END;500;2.1113278866;53.4887275696;2.4046404386;2.1700154543
TAG_DIV_U_START-TAG_DIV_U_END;500;1.8131309748;53.4887275696;2.0018544219;1.8639454842
TAG_EQ_START-TAG_EQ_END;500;0.5642970204;53.4887275696;0.5892913362;0.5858635008
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5641170144;53.4887275696;0.5922142442;0.5860029757
TAG_NEQ_START-TAG_NEQ_END;500;0.5640950203;53.4887275696;0.6932377777;0.5860970020
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5641390085;53.4887275696;0.5954726701;0.5862109959
TAG_LEQ_START-TAG_LEQ_END;500;0.5642449856;53.4887275696;0.6958098665;0.5863279998
TAG_LEQ_U_START-TAG_LEQ_U_END;500;0.5737050176;53.4887275696;0.6039882455;0.5962195098
TAG_GEQ_START-TAG_GEQ_END;500;0.5638769865;53.4887275696;0.5919244528;0.5858464837
TAG_GEQ_U_START-TAG_GEQ_U_END;500;0.5641160011;53.4887275696;0.5909974262;0.5863440037
TAG_LESS_START-TAG_LESS_END;500;0.5642399788;53.4887275696;0.5930411586;0.5861530006
TAG_LESS_U_START-TAG_LESS_U_END;500;0.5642129779;53.4887275696;0.5893585207;0.5862660110
TAG_GRT_START-TAG_GRT_END;500;0.5643889904;53.4887275696;0.6934903603;0.5859160125
TAG_GRT_U_START-TAG_GRT_U_END;500;0.5738850236;53.4887275696;0.5992514687;0.5961395204
TAG_SHR_U_START-TAG_SHR_U_END;500;0.4966419935;53.4887275696;0.5164399815;0.5166850090
TAG_SHL_START-TAG_SHL_END;500;0.5503280163;53.4887275696;0.5795631348;0.5727104843
TAG_SHL_U_START-TAG_SHL_U_END;500;0.5470079780;53.4887275696;0.6706517787;0.5688290000
TAG_LAND_START-TAG_LAND_END;500;0.5577300191;53.4887275696;0.5855609157;0.5792514980
TAG_LAND_U_START-TAG_LAND_U_END;500;0.5573970079;53.4887275696;0.5825197523;0.5797620118
TAG_LOR_START-TAG_LOR_END;500;0.4973630011;53.4887275696;0.5253276895;0.5184530020
TAG_LOR_U_START-TAG_LOR_U_END;500;0.4952819943;53.4887275696;0.5183364983;0.5161755085
TAG_AND_START-TAG_AND_END;500;0.5460730195;53.4887275696;0.6771879771;0.5680625141
TAG_AND_U_START-TAG_AND_U_END;500;0.5463640094;53.4887275696;0.5737100867;0.5684835017
TAG_OR_START-TAG_OR_END;500;0.5461919904;53.4887275696;0.5778874916;0.5681029856
TAG_OR_U_START-TAG_OR_U_END;500;0.5465790033;53.4887275696;0.5735242268;0.5685030222
TAG_XOR_START-TAG_XOR_END;500;0.5461279750;53.4887275696;0.5767537786;0.5680674911
TAG_XOR_U_START-TAG_XOR_U_END;500;0.5467069745;53.4887275696;0.5725261223;0.5681165159
TAG_NEG_START-TAG_NEG_END;500;0.4792349935;53.4887275696;0.6048559448;0.4910680056
TAG_NEG_U_START-TAG_NEG_U_END;500;0.4795280099;53.4887275696;0.5036396664;0.5002129972
