~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Perm Stuck-at SDCs for residue on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 A |   SDCs   |  Masked   |
207| 10707721 | 1401391   |
208| 11143472 | 1447632   |
209| 10861421 | 1412977   |
210| 10940142 | 1420050   |
211| 10932609 | 1413043   |
212| 11110956 | 1434708   |
213| 11076581 | 1422325   |
214| 11191322 | 1434774   |
215| 11256689 | 1436983   |
216| 11497256 | 1465560   |
217| 11426669 | 1449337   |
218| 11528454 | 1458714   |
219| 11583297 | 1458619   |
220| 11773860 | 1480284   |
221| 11776493 | 1473277   |
222| 11940466 | 1489566   |
223| 12031977 | 1494847   |
224| 12427296 | 1531872   |
225| 12206805 | 1507201   |
226| 12287070 | 1513506   |
227| 12296921 | 1509571   |
228| 12454172 | 1525860   |
229| 12449293 | 1518853   |
230| 12553482 | 1528230   |
231| 12625673 | 1531207   |
232| 12804632 | 1549800   |
233| 12801485 | 1542793   |
234| 12895030 | 1549866   |
235| 12966433 | 1552075   |
236| 13095828 | 1564524   |
237| 13155629 | 1564429   |
238| 13270434 | 1573806   |
239| 13366121 | 1579087   |
240| 13543440 | 1595376   |
241| 13558805 | 1591441   |
242| 13652622 | 1597746   |
243| 13730265 | 1600723   |
244| 13846796 | 1610100   |
245| 13923053 | 1612309   |
246| 14027834 | 1619382   |
247| 14126825 | 1624663   |
248| 14251272 | 1634040   |
249| 14333173 | 1637017   |
250| 14437286 | 1643322   |
251| 14538809 | 1648603   |
252| 14652036 | 1655676   |
253| 14755477 | 1660957   |
254| 14867346 | 1667262   |
255| 14979905 | 1673311   |
---+----------+-----------+
Min SDCs 516633 for A 7



~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Perm Stuck-at SDCs for inverse residue on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 A |   SDCs   |  Masked   |
---+----------+-----------+
1  | 1288991  | 390625    |
2  | 1397490  | 468750    |
3  | 545631   | 389253    |
4  | 1148658  | 468750    |
5  | 368121   | 389855    |
6  | 715068   | 469044    |
7  | 318753   | 387303    |
8  | 854382   | 431250    |
9  | 292167   | 395937    |
10 | 529074   | 473040    |
11 | 226739   | 383889    |
12 | 565824   | 469044    |
13 | 213963   | 385665    |
14 | 457516   | 467244    |
15 | 233311   | 373137    |
16 | 588930   | 378750    |
17 | 258499   | 405347    |
18 | 427816   | 484884    |
19 | 167265   | 389271    |
20 | 423218   | 474660    |
21 | 202117   | 401391    |
22 | 341976   | 476964    |
23 | 148487   | 371739    |
24 | 412140   | 437508    |
25 | 166839   | 401427    |
26 | 319178   | 480492    |
27 | 152467   | 384543    |
28 | 367788   | 466632    |
29 | 158541   | 390735    |
30 | 345760   | 454500    |
31 | 157425   | 324279    |
32 | 379470   | 323250    |
33 | 205159   | 377433    |
34 | 365228   | 489744    |
35 | 145201   | 400149    |
36 | 358678   | 493668    |
37 | 165281   | 404721    |
38 | 260542   | 480096    |
39 | 126187   | 379845    |
40 | 325984   | 450900    |
41 | 173761   | 433941    |
42 | 298120   | 495828    |
43 | 141943   | 385029    |
44 | 297984   | 481068    |
45 | 150943   | 411165    |
46 | 246670   | 479736    |
47 | 114421   | 334341    |
48 | 283036   | 383832    |
49 | 153973   | 407925    |
50 | 256618   | 503100    |
51 | 133553   | 385089    |
52 | 262872   | 487728    |
53 | 157183   | 417897    |
54 | 239678   | 485352    |
55 | 127981   | 367929    |
56 | 288672   | 439812    |
57 | 152991   | 412605    |
58 | 243472   | 471636    |
59 | 136285   | 372681    |
60 | 289556   | 435060    |
61 | 130707   | 341181    |
62 | 233920   | 367776    |
63 | 80991    | 232497    |
64 | 227298   | 270750    |
65 | 135779   | 314091    |
66 | 270458   | 421668    |
67 | 127299   | 368523    |
68 | 311502   | 471024    |
69 | 152211   | 398187    |
70 | 240810   | 497232    |
71 | 121213   | 368955    |
72 | 298962   | 466272    |
73 | 172437   | 445851    |
74 | 252814   | 520884    |
75 | 135607   | 411543    |
76 | 249442   | 520668    |
77 | 145719   | 422739    |
78 | 223522   | 488592    |
79 | 93923    | 313947    |
80 | 239024   | 407016    |
81 | 159147   | 409779    |
82 | 257590   | 523692    |
83 | 131219   | 400095    |
84 | 253884   | 509256    |
85 | 153589   | 414367    |
86 | 221744   | 493596    |
87 | 107947   | 340767    |
88 | 235754   | 465228    |
89 | 161973   | 432459    |
90 | 236062   | 516060    |
91 | 135017   | 387999    |
92 | 243450   | 491292    |
93 | 135011   | 372267    |
94 | 198986   | 420768    |
95 | 68543    | 247851    |
96 | 187776   | 344736    |
97 | 135033   | 361863    |
98 | 238392   | 488268    |
99 | 134119   | 390123    |
100| 257868   | 525096    |
101| 160773   | 430587    |
102| 230346   | 518724    |
103| 112583   | 351675    |
104| 232464   | 475416    |
105| 170837   | 450315    |
106| 239500   | 529560    |
107| 138365   | 391455    |
108| 242786   | 501660    |
109| 158969   | 415323    |
110| 217266   | 451440    |
111| 84821    | 275355    |
112| 213048   | 380664    |
113| 149369   | 386775    |
114| 236916   | 487836    |
115| 131519   | 368523    |
116| 235132   | 475416    |
117| 156975   | 404523    |
118| 214238   | 444960    |
119| 96529    | 289179    |
120| 216388   | 380232    |
121| 136921   | 359991    |
122| 196096   | 411804    |
123| 99973    | 290475    |
124| 185184   | 343512    |
125| 95407    | 279351    |
126| 127720   | 267516    |
127| 29019    | 145959    |
128| 123182   | 223890    |
129| 83841    | 257733    |
130| 171826   | 344268    |
131| 91985    | 273213    |
132| 213330   | 395136    |
133| 139287   | 370629    |
134| 192078   | 410616    |
135| 88611    | 271701    |
136| 230634   | 414576    |
137| 160837   | 419877    |
138| 241686   | 510516    |
139| 131983   | 367497    |
140| 229730   | 480924    |
141| 163043   | 418365    |
142| 202370   | 428544    |
143| 73469    | 253125    |
144| 217746   | 404208    |
145| 163493   | 425061    |
146| 260918   | 542916    |
147| 141773   | 402489    |
148| 269574   | 563976    |
149| 191729   | 502929    |
150| 241510   | 541404    |
151| 105789   | 334665    |
152| 229898   | 489996    |
153| 182097   | 472797    |
154| 250334   | 560844    |
155| 133955   | 383913    |
156| 230086   | 488484    |
157| 150157   | 404973    |
158| 174686   | 399600    |
159| 49911    | 215973    |
160| 176530   | 363168    |
161| 142503   | 386613    |
162| 240186   | 510516    |
163| 130591   | 379593    |
164| 267266   | 558792    |
165| 188773   | 497745    |
166| 244058   | 551772    |
167| 102717   | 341577    |
168| 251910   | 535464    |
169| 194273   | 517185    |
170| 278306   | 630504    |
171| 143907   | 430893    |
172| 258194   | 576720    |
173| 178547   | 479169    |
174| 211674   | 490428    |
175| 68813    | 269433    |
176| 199010   | 438588    |
177| 168267   | 439533    |
178| 251970   | 560844    |
179| 134627   | 396009    |
180| 256410   | 566352    |
181| 182771   | 484353    |
182| 231658   | 522828    |
183| 90531    | 304425    |
184| 216270   | 456516    |
185| 161301   | 420957    |
186| 221994   | 499500    |
187| 106947   | 323865    |
188| 190498   | 418500    |
189| 115737   | 329373    |
190| 128870   | 321408    |
191| 27635    | 157173    |
192| 122272   | 288036    |
193| 108871   | 301329    |
194| 185864   | 410616    |
195| 101111   | 296901    |
196| 217436   | 464940    |
197| 157889   | 402381    |
198| 211316   | 460512    |
199| 83125    | 274437    |
200| 222332   | 468828    |
201| 172443   | 439533    |
202| 252176   | 551772    |
203| 124249   | 362745    |
204| 239452   | 518724    |
205| 162477   | 417069    |
206| 195680   | 441936    |
207| 57095    | 232101    |
208| 194104   | 422604    |
209| 160913   | 411453    |
210| 249216   | 541404    |
211| 123241   | 367929    |
212| 258544   | 562464    |
213| 177725   | 464913    |
214| 233120   | 518940    |
215| 81221    | 288441    |
216| 223560   | 476388    |
217| 165477   | 426141    |
218| 237728   | 522828    |
219| 107655   | 325593    |
220| 212004   | 453924    |
221| 129309   | 346653    |
222| 151212   | 353376    |
223| 31891    | 166389    |
224| 147496   | 322416    |
225| 122617   | 315801    |
226| 202712   | 428544    |
227| 99121    | 290421    |
228| 222276   | 467316    |
229| 150839   | 383805    |
230| 203772   | 441936    |
231| 68047    | 244197    |
232| 205736   | 435348    |
233| 149735   | 387693    |
234| 223092   | 490428    |
235| 97073    | 302697    |
236| 206984   | 448740    |
237| 128457   | 341469    |
238| 160104   | 363744    |
239| 37283    | 173301    |
240| 153632   | 329976    |
241| 116551   | 302409    |
242| 182644   | 399600    |
243| 79475    | 253269    |
244| 180772   | 402516    |
245| 113135   | 313389    |
246| 151944   | 353376    |
247| 42571    | 178485    |
248| 138136   | 311400    |
249| 90301    | 260073    |
250| 130400   | 321408    |
251| 47375    | 182373    |
252| 103112   | 265176    |
253| 51721    | 185289    |
254| 57296    | 187476    |
255| 255      | 71841     |
---+----------+-----------+
Min SDCs 255 for A 255



~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Perm Stuck-at SDCs for ones' complement on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   |   SDCs   |  Masked   |
---+----------+-----------+
   | 0        | 65536     |
---+----------+-----------+



~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Perm Stuck-at SDCs for two's complement on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   |   SDCs   |  Masked   |
---+----------+-----------+
   | 6305     | 183486    |
---+----------+-----------+



